"Step","dulcet-rain-4 - train/sigreg","dulcet-rain-4 - train/sigreg__MIN","dulcet-rain-4 - train/sigreg__MAX"
"59","8.3125","8.3125","8.3125"
"72","8.3125","8.3125","8.3125"
"118","7.8125","7.8125","7.8125"
"148","7.40625","7.40625","7.40625"
"150","6.78125","6.78125","6.78125"
"153","7.90625","7.90625","7.90625"
"154","8.3125","8.3125","8.3125"
"163","7.53125","7.53125","7.53125"
"184","7.90625","7.90625","7.90625"
"224","7.21875","7.21875","7.21875"
"258","7.34375","7.34375","7.34375"
"265","7.4375","7.4375","7.4375"
"277","7.8125","7.8125","7.8125"
"280","8.4375","8.4375","8.4375"
"301","7.25","7.25","7.25"
"305","7.3125","7.3125","7.3125"
"318","8.3125","8.3125","8.3125"
"337","7.4375","7.4375","7.4375"
"353","8.375","8.375","8.375"
"389","7.5625","7.5625","7.5625"
"425","6.53125","6.53125","6.53125"
"430","8.125","8.125","8.125"
"477","7.875","7.875","7.875"
"515","8.75","8.75","8.75"
"534","7.8125","7.8125","7.8125"
"586","6.3125","6.3125","6.3125"
"614","6.5","6.5","6.5"
"647","6.3125","6.3125","6.3125"
"653","6.53125","6.53125","6.53125"
"753","6.6875","6.6875","6.6875"
"764","6.21875","6.21875","6.21875"
"790","7.03125","7.03125","7.03125"
"808","6.34375","6.34375","6.34375"
"924","6.25","6.25","6.25"
"950","5.9375","5.9375","5.9375"
"964","5.71875","5.71875","5.71875"
"967","6.625","6.625","6.625"
"993","7.46875","7.46875","7.46875"
"999","6","6","6"
"1000","5.6875","5.6875","5.6875"
"1023","5.8125","5.8125","5.8125"
"1052","6.28125","6.28125","6.28125"
"1069","6.4375","6.4375","6.4375"
"1077","5.75","5.75","5.75"
"1115","6.3125","6.3125","6.3125"
"1131","5.9375","5.9375","5.9375"
"1133","5.53125","5.53125","5.53125"
"1139","5.96875","5.96875","5.96875"
"1167","6.09375","6.09375","6.09375"
"1170","5.75","5.75","5.75"
"1186","5.5","5.5","5.5"
"1220","5.78125","5.78125","5.78125"
"1236","6.40625","6.40625","6.40625"
"1242","5.28125","5.28125","5.28125"
"1256","4.96875","4.96875","4.96875"
"1272","5.0625","5.0625","5.0625"
"1275","5.28125","5.28125","5.28125"
"1355","6.59375","6.59375","6.59375"
"1370","6.59375","6.59375","6.59375"
"1432","5.15625","5.15625","5.15625"
"1450","4.8125","4.8125","4.8125"
"1451","4.4375","4.4375","4.4375"
"1452","4.75","4.75","4.75"
"1474","5.1875","5.1875","5.1875"
"1506","5.375","5.375","5.375"
"1512","5.40625","5.40625","5.40625"
"1536","4.78125","4.78125","4.78125"
"1581","5.65625","5.65625","5.65625"
"1603","5","5","5"
"1691","5.375","5.375","5.375"
"1707","5.15625","5.15625","5.15625"
"1723","4.625","4.625","4.625"
"1746","5.96875","5.96875","5.96875"
"1765","6","6","6"
"1779","6.09375","6.09375","6.09375"
"1788","5.1875","5.1875","5.1875"
"1798","5.40625","5.40625","5.40625"
"1820","6.0625","6.0625","6.0625"
"1827","5.53125","5.53125","5.53125"
"1836","5.84375","5.84375","5.84375"
"1838","5.28125","5.28125","5.28125"
"1839","5.5","5.5","5.5"
"1903","5.53125","5.53125","5.53125"
"1939","6.21875","6.21875","6.21875"
"1950","5.28125","5.28125","5.28125"
"1962","5.375","5.375","5.375"
"1991","6.15625","6.15625","6.15625"
"1997","4.46875","4.46875","4.46875"
"2020","5.3125","5.3125","5.3125"
"2034","5.71875","5.71875","5.71875"
"2040","5.46875","5.46875","5.46875"
"2055","4.5625","4.5625","4.5625"
"2075","5.40625","5.40625","5.40625"
"2112","5.0625","5.0625","5.0625"
"2159","5.4375","5.4375","5.4375"
"2171","5.03125","5.03125","5.03125"
"2178","5.625","5.625","5.625"
"2191","5.84375","5.84375","5.84375"
"2194","5.9375","5.9375","5.9375"
"2196","5.5625","5.5625","5.5625"
"2208","5.53125","5.53125","5.53125"
"2270","5.21875","5.21875","5.21875"
"2290","4.59375","4.59375","4.59375"
"2302","4.75","4.75","4.75"
"2309","5.15625","5.15625","5.15625"
"2335","4.5625","4.5625","4.5625"
"2359","5.53125","5.53125","5.53125"
"2386","5.9375","5.9375","5.9375"
"2427","4.65625","4.65625","4.65625"
"2430","5.4375","5.4375","5.4375"
"2436","5.78125","5.78125","5.78125"
"2467","6.0625","6.0625","6.0625"
"2541","5.3125","5.3125","5.3125"
"2550","5.0625","5.0625","5.0625"
"2557","4.6875","4.6875","4.6875"
"2571","4.78125","4.78125","4.78125"
"2598","4.8125","4.8125","4.8125"
"2632","5.40625","5.40625","5.40625"
"2671","5.1875","5.1875","5.1875"
"2681","4.9375","4.9375","4.9375"
"2716","5.8125","5.8125","5.8125"
"2741","6.21875","6.21875","6.21875"
"2761","5.4375","5.4375","5.4375"
"2824","4.90625","4.90625","4.90625"
"2830","6.25","6.25","6.25"
"2842","5.71875","5.71875","5.71875"
"2883","4.65625","4.65625","4.65625"
"2920","5","5","5"
"2968","5.25","5.25","5.25"
"2985","5.59375","5.59375","5.59375"
"3013","5.96875","5.96875","5.96875"
"3039","4.9375","4.9375","4.9375"
"3078","5.5625","5.5625","5.5625"
"3083","5.09375","5.09375","5.09375"
"3101","5.9375","5.9375","5.9375"
"3106","5.625","5.625","5.625"
"3127","4.5625","4.5625","4.5625"
"3134","5.875","5.875","5.875"
"3173","5.375","5.375","5.375"
"3177","4.3125","4.3125","4.3125"
"3225","4.4375","4.4375","4.4375"
"3284","4.71875","4.71875","4.71875"
"3285","4.90625","4.90625","4.90625"
"3317","4.8125","4.8125","4.8125"
"3327","4.53125","4.53125","4.53125"
"3346","5.21875","5.21875","5.21875"
"3352","5.46875","5.46875","5.46875"
"3367","5.84375","5.84375","5.84375"
"3383","5.375","5.375","5.375"
"3428","4.90625","4.90625","4.90625"
"3455","4.71875","4.71875","4.71875"
"3505","4.8125","4.8125","4.8125"
"3517","4.625","4.625","4.625"
"3539","5.09375","5.09375","5.09375"
"3575","5","5","5"
"3607","5.0625","5.0625","5.0625"
"3614","5.84375","5.84375","5.84375"
"3620","5.375","5.375","5.375"
"3622","4.625","4.625","4.625"
"3668","5.28125","5.28125","5.28125"
"3685","3.90625","3.90625","3.90625"
"3752","4.25","4.25","4.25"
"3761","5.09375","5.09375","5.09375"
"3770","4.6875","4.6875","4.6875"
"3806","5.1875","5.1875","5.1875"
"3815","4.65625","4.65625","4.65625"
"3830","5.28125","5.28125","5.28125"
"3849","5.09375","5.09375","5.09375"
"3870","6.0625","6.0625","6.0625"
"3884","4.59375","4.59375","4.59375"
"3891","5.09375","5.09375","5.09375"
"3900","5.28125","5.28125","5.28125"
"3905","4.53125","4.53125","4.53125"
"3934","4.90625","4.90625","4.90625"
"4006","3.890625","3.890625","3.890625"
"4022","4.28125","4.28125","4.28125"
"4025","5.15625","5.15625","5.15625"
"4029","4.875","4.875","4.875"
"4045","5.625","5.625","5.625"
"4067","4.34375","4.34375","4.34375"
"4114","5.1875","5.1875","5.1875"
"4145","4.96875","4.96875","4.96875"
"4162","5.3125","5.3125","5.3125"
"4176","5.625","5.625","5.625"
"4177","5","5","5"
"4189","5.21875","5.21875","5.21875"
"4227","4.9375","4.9375","4.9375"
"4295","4.71875","4.71875","4.71875"
"4335","5.15625","5.15625","5.15625"
"4351","5.6875","5.6875","5.6875"
"4383","4.1875","4.1875","4.1875"
"4416","5.3125","5.3125","5.3125"
"4434","5.0625","5.0625","5.0625"
"4438","4.5625","4.5625","4.5625"
"4440","4.9375","4.9375","4.9375"
"4468","5.53125","5.53125","5.53125"
"4496","4.34375","4.34375","4.34375"
"4502","4.78125","4.78125","4.78125"
"4504","4.875","4.875","4.875"
"4520","4.46875","4.46875","4.46875"
"4542","5.125","5.125","5.125"
"4594","4.84375","4.84375","4.84375"
"4624","5.03125","5.03125","5.03125"
"4646","5.5625","5.5625","5.5625"
"4663","5","5","5"
"4666","5.125","5.125","5.125"
"4681","5.34375","5.34375","5.34375"
"4687","4.96875","4.96875","4.96875"
"4751","4.90625","4.90625","4.90625"
"4906","4.78125","4.78125","4.78125"
"4951","4.9375","4.9375","4.9375"
"5020","4.5625","4.5625","4.5625"
"5052","5.25","5.25","5.25"
"5055","5.125","5.125","5.125"
"5058","4.59375","4.59375","4.59375"
"5093","5.1875","5.1875","5.1875"
"5157","5.28125","5.28125","5.28125"
"5181","4.5625","4.5625","4.5625"
"5185","4.8125","4.8125","4.8125"
"5235","4.65625","4.65625","4.65625"
"5265","5.1875","5.1875","5.1875"
"5283","5.5625","5.5625","5.5625"
"5311","4.8125","4.8125","4.8125"
"5331","5.15625","5.15625","5.15625"
"5345","4.65625","4.65625","4.65625"
"5354","5","5","5"
"5364","4.34375","4.34375","4.34375"
"5366","5.1875","5.1875","5.1875"
"5378","4.625","4.625","4.625"
"5387","4.53125","4.53125","4.53125"
"5406","4.53125","4.53125","4.53125"
"5408","5.3125","5.3125","5.3125"
"5414","4.5625","4.5625","4.5625"
"5437","5.21875","5.21875","5.21875"
"5456","4.84375","4.84375","4.84375"
"5491","5","5","5"
"5501","5.375","5.375","5.375"
"5562","5.78125","5.78125","5.78125"
"5588","5.03125","5.03125","5.03125"
"5599","5","5","5"
"5611","4.71875","4.71875","4.71875"
"5614","4.84375","4.84375","4.84375"
"5622","4.96875","4.96875","4.96875"
"5680","5.03125","5.03125","5.03125"
"5733","4.875","4.875","4.875"
"5760","5.46875","5.46875","5.46875"
"5788","5.25","5.25","5.25"
"5792","4.53125","4.53125","4.53125"
"5843","4.5","4.5","4.5"
"5866","4.75","4.75","4.75"
"5924","4.5625","4.5625","4.5625"
"5957","4.53125","4.53125","4.53125"
"5967","5.6875","5.6875","5.6875"
"5976","5.125","5.125","5.125"
"5992","4.4375","4.4375","4.4375"
"6027","4.84375","4.84375","4.84375"
"6043","5.1875","5.1875","5.1875"
"6046","4.90625","4.90625","4.90625"
"6107","4.78125","4.78125","4.78125"
"6109","4.9375","4.9375","4.9375"
"6145","4.84375","4.84375","4.84375"
"6217","4.375","4.375","4.375"
"6242","4.8125","4.8125","4.8125"
"6253","4.875","4.875","4.875"
"6264","4.53125","4.53125","4.53125"
"6318","4.8125","4.8125","4.8125"
"6333","4.59375","4.59375","4.59375"
"6339","4.75","4.75","4.75"
"6343","4.5","4.5","4.5"
"6355","4.625","4.625","4.625"
"6378","4.3125","4.3125","4.3125"
"6391","5","5","5"
"6461","4.59375","4.59375","4.59375"
"6463","4.5625","4.5625","4.5625"
"6468","4.4375","4.4375","4.4375"
"6476","4.59375","4.59375","4.59375"
"6505","4.46875","4.46875","4.46875"
"6517","4.78125","4.78125","4.78125"
"6556","4.84375","4.84375","4.84375"
"6574","5.0625","5.0625","5.0625"
"6587","4.0625","4.0625","4.0625"
"6625","4.78125","4.78125","4.78125"
"6649","4.25","4.25","4.25"
"6666","4.125","4.125","4.125"
"6681","4.59375","4.59375","4.59375"
"6695","4.5","4.5","4.5"
"6698","4.25","4.25","4.25"
"6713","4.625","4.625","4.625"
"6714","4.84375","4.84375","4.84375"
"6717","4.53125","4.53125","4.53125"
"6764","4.78125","4.78125","4.78125"
"6771","4.6875","4.6875","4.6875"
"6781","4.1875","4.1875","4.1875"
"6785","4.71875","4.71875","4.71875"
"6804","5.15625","5.15625","5.15625"
"6849","4.46875","4.46875","4.46875"
"6851","4.75","4.75","4.75"
"6909","4.125","4.125","4.125"
"6967","4.40625","4.40625","4.40625"
"6978","4.28125","4.28125","4.28125"
"6996","4.625","4.625","4.625"
"7027","4.71875","4.71875","4.71875"
"7079","4.125","4.125","4.125"
"7084","4.71875","4.71875","4.71875"
"7087","4.28125","4.28125","4.28125"
"7100","4.34375","4.34375","4.34375"
"7136","4.34375","4.34375","4.34375"
"7224","4.28125","4.28125","4.28125"
"7236","5.0625","5.0625","5.0625"
"7262","4.4375","4.4375","4.4375"
"7263","4.21875","4.21875","4.21875"
"7272","4.28125","4.28125","4.28125"
"7299","5","5","5"
"7323","5.125","5.125","5.125"
"7325","4.25","4.25","4.25"
"7373","4.21875","4.21875","4.21875"
"7381","4.6875","4.6875","4.6875"
"7397","3.921875","3.921875","3.921875"
"7415","4.1875","4.1875","4.1875"
"7456","4.15625","4.15625","4.15625"
"7466","3.953125","3.953125","3.953125"
"7497","4.59375","4.59375","4.59375"
"7523","4.3125","4.3125","4.3125"
"7591","4.5","4.5","4.5"
"7625","4.25","4.25","4.25"
"7639","4.40625","4.40625","4.40625"
"7646","4.6875","4.6875","4.6875"
"7681","4.4375","4.4375","4.4375"
"7686","4","4","4"
"7692","3.8125","3.8125","3.8125"
"7696","4.53125","4.53125","4.53125"
"7734","4.5625","4.5625","4.5625"
"7736","3.90625","3.90625","3.90625"
"7743","4.125","4.125","4.125"
"7802","4.71875","4.71875","4.71875"
"7820","4.46875","4.46875","4.46875"
"7869","4.5625","4.5625","4.5625"
"7897","4.75","4.75","4.75"
"7927","4.03125","4.03125","4.03125"
"7934","4.625","4.625","4.625"
"7943","3.96875","3.96875","3.96875"
"7994","4.625","4.625","4.625"
"8019","4.15625","4.15625","4.15625"
"8021","4.21875","4.21875","4.21875"
"8045","3.890625","3.890625","3.890625"
"8077","3.71875","3.71875","3.71875"
"8117","4.3125","4.3125","4.3125"
"8178","4.53125","4.53125","4.53125"
"8193","3.84375","3.84375","3.84375"
"8236","4.40625","4.40625","4.40625"
"8258","4.4375","4.4375","4.4375"
"8262","4.78125","4.78125","4.78125"
"8267","4.34375","4.34375","4.34375"
"8288","4.53125","4.53125","4.53125"
"8310","4.375","4.375","4.375"
"8312","3.84375","3.84375","3.84375"
"8315","4.6875","4.6875","4.6875"
"8335","5.28125","5.28125","5.28125"
"8346","4.875","4.875","4.875"
"8358","4.09375","4.09375","4.09375"
"8359","3.953125","3.953125","3.953125"
"8362","4.09375","4.09375","4.09375"
"8364","4.15625","4.15625","4.15625"
"8400","4.28125","4.28125","4.28125"
"8441","5.21875","5.21875","5.21875"
"8453","4.3125","4.3125","4.3125"
"8495","4.34375","4.34375","4.34375"
"8502","4.0625","4.0625","4.0625"
"8572","4.0625","4.0625","4.0625"
"8598","4.3125","4.3125","4.3125"
"8650","3.90625","3.90625","3.90625"
"8690","4.375","4.375","4.375"
"8854","4.21875","4.21875","4.21875"
"8863","4.28125","4.28125","4.28125"
"8891","4","4","4"
"8936","4.125","4.125","4.125"
"8983","4.5625","4.5625","4.5625"
"9012","4.34375","4.34375","4.34375"
"9013","4.09375","4.09375","4.09375"
"9061","4.40625","4.40625","4.40625"
"9098","4.15625","4.15625","4.15625"
"9115","4.15625","4.15625","4.15625"
"9171","3.734375","3.734375","3.734375"
"9197","4.09375","4.09375","4.09375"
"9198","4.15625","4.15625","4.15625"
"9228","4.53125","4.53125","4.53125"
"9241","4.34375","4.34375","4.34375"
"9274","4.5625","4.5625","4.5625"
"9334","4.34375","4.34375","4.34375"
"9363","4.84375","4.84375","4.84375"
"9368","4.625","4.625","4.625"
"9377","4.46875","4.46875","4.46875"
"9379","4.5","4.5","4.5"
"9406","4.84375","4.84375","4.84375"
"9425","4.40625","4.40625","4.40625"
"9458","4.4375","4.4375","4.4375"
"9469","4.3125","4.3125","4.3125"
"9479","3.921875","3.921875","3.921875"
"9502","4.4375","4.4375","4.4375"
"9534","3.71875","3.71875","3.71875"
"9564","3.984375","3.984375","3.984375"
"9621","4","4","4"
"9637","4.125","4.125","4.125"
"9644","3.640625","3.640625","3.640625"
"9648","3.84375","3.84375","3.84375"
"9665","5.03125","5.03125","5.03125"
"9667","3.796875","3.796875","3.796875"
"9700","4.5","4.5","4.5"
"9713","4.28125","4.28125","4.28125"
"9784","4.21875","4.21875","4.21875"
"9787","4.71875","4.71875","4.71875"
"9822","4.375","4.375","4.375"
"9869","4.5","4.5","4.5"
